Date,Type,Country,Sex,Species
2022-02-16,Unprovoked,AUSTRALIA,M,
2022-02-12,Unprovoked,MEXICO,M,3m shark
2022-02-11,Unprovoked,USA,M,
,Provoked,BAHAMAS,F,nurse shark
2022-02-08,,COSTA RICA,F,bull shark
2022-02-05,Unprovoked,AUSTRALIA,F,white shark
2022-01-24,Unprovoked,AUSTRALIA,M,wobbegong shark
2022-01-22,Unprovoked,AUSTRALIA,M,wobbegong shark
2022-01-09,Provoked,SOUTH AFRICA,M,
2022-01-09,Unprovoked,NEW ZEALAND,F,broadnose sevengill shark
2022-01-06,Unprovoked,USA,F,blacktip shark
2022-01-04,Unprovoked,AUSTRALIA,F,
2022-01-01,Unprovoked,AUSTRALIA,M,
2021-12-25,Unprovoked,New Zealand,F,
2021-12-22,Unprovoked,USA,F,blacktip shark
,Unprovoked,AUSTRALIA,M,bull shark
,Unprovoked,MEXICO,M,
2021-12-06,Unprovoked,AUSTRALIA,F,
2021-12-06,Unprovoked,AUSTRALIA,M,
2021-12-04,Unprovoked,USA,M,blacktip shark
,Unprovoked,BRAZIL,M,dogfish
2021-11-07,Unprovoked,USA,F,
2021-11-06,Unprovoked,AUSTRALIA,M,
2021-11-03,Unprovoked,BRAZIL,M,
2021-11-02,Unprovoked,NEW ZEALAND,M,broadnose sevengill shark
2021-10-16,,AUSTRALIA,M,
2021-10-15,Unprovoked,AUSTRALIA,M,
2021-10-04,Unprovoked,USA,M,
2021-10-03,Unprovoked,USA,M,
2021-10-03,Unprovoked,USA,M,
2021-09-10,,EGYPT,M,no shark invovlement 
2021-09-09,Unprovoked,USA,M,
2021-09-05,Unprovoked,AUSTRALIA,M,white shark
2021-09-03,Unprovoked,British Overseas Territory,M,
2021-09-03,Unprovoked,USA,M,
2021-08-28,Unprovoked,USA,M,
2021-08-21,Unprovoked,USA,M,bull shark
2021-08-13,Unprovoked,CANADA,F,
2021-08-07,Provoked,AUSTRALIA,M,
2021-08-07,Unprovoked,USA,M,
2021-08-07,Unprovoked,USA,M,
2021-08-03,Unprovoked,USA,M,blacktip shark
2021-08-02,Unprovoked,USA,F,blacktip shark
2021-07-30,Provoked,USA,M,
2021-07-27,Unprovoked,USA,M,
2021-07-27,Unprovoked,USA,M,blacktip shark
2021-07-27,Provoked,AUSTRALIA,M,lemon shark
2021-07-26,Unprovoked,USA,M,a small shark
2021-07-25,Unprovoked,BRAZIL,M,
2021-07-23,Provoked,THAILAND,M,bull shark
2021-07-21,Unprovoked,USA,F,
2021-07-21,,USA,F,
2021-07-19,Unprovoked,AUSTRALIA,M,white shark
2021-07-15,Unprovoked,USA,M,
2021-07-14,Unprovoked,SOUTH AFRICA,M,
,Provoked,BAHAMAS,M,
2021-07-10,Unprovoked,USA,F,spinner shark
2021-07-10,Unprovoked,USA,M,
2021-07-10,Unprovoked,BRAZIL,M,
2021-07-05,Unprovoked,AUSTRALIA,M,white shark
2021-07-04,Unprovoked,USA,M,2' to 3' shark
2021-07-04,Provoked,USA,F,bull shark
2021-07-03,Unprovoked,ECUADOR,M,galapagos shark
2021-06-30,Unprovoked,USA,M,
2021-06-28,Unprovoked,USA,F,
2021-06-27,Unprovoked,USA,F,
2021-06-26,Unprovoked,USA,M,white shark
2021-06-25,Unprovoked,JORDAN,M,
2021-06-23,Unprovoked,AUSTRALIA,M,
2021-06-18,Unprovoked,USA,M,
2021-06-17,Unprovoked,USA,M,7' to 8' shark 
2021-06-14,Unprovoked,USA,M,
2021-06-14,Unprovoked,USA,M,
2021-06-12,Provoked,ENGLAND,M,"tope shark, 6'"
2021-06-11,Unprovoked,AUSTRALIA,M,copper shark
2021-05-25,Provoked,NEW CALEDONIA,M,
2021-05-23,Unprovoked,USA,M,5' shark
2021-05-21,Unprovoked,AUSTRALIA,M,
2021-05-18,Unprovoked,AUSTRALIA,M,white shark
2021-05-15,Unprovoked,USA,M,tiger shark
2021-05-12,Provoked,BELIZE,M,8 ft shark
2021-05-06,Unprovoked,USA,F,
2021-05-03,Unprovoked,USA,M,5.5 ft shark
2021-05-01,Unprovoked,JAMAICA,M,
2021-04-30,Unprovoked,USA,F,
2021-04-29,Unprovoked,USA,M,
2021-04-24,Unprovoked,FRENCH POLYNESIA,M,
2021-04-24,Unprovoked,NEW CALEDONIA,M,
2021-04-20,Unprovoked,USA,F,tiger shark
2021-04-19,Unprovoked,AUSTRALIA,M,
2021-04-17,Provoked,USA,,mako shark
2021-04-14,Unprovoked,SOUTH AFRICA,M,1.3m shark
2021-04-13,Unprovoked,SOUTH AFRICA,M,white shark
2021-04-02,Unprovoked,USA,M,
2021-03-30,Unprovoked,USA,M,
2021-03-27,Unprovoked,AUSTRALIA,M,bull shark
2021-03-26,Unprovoked,FRENCH POLYNESIA,M,
2021-03-25,Unprovoked,USA,F,3' to 5' shark
2021-03-25,Unprovoked,USA,M,  
2021-03-21,Unprovoked,USA,M,
2021-03-20,Unprovoked,AUSTRALIA,M,blacktip shark
2021-03-18,Unprovoked,USA,M,blacktip shark
2021-03-02,Unprovoked,NEW CALEDONIA,M,tiger shark
2021-02-28,Unprovoked,NEW CALEDONIA,M,tiger shark
2021-02-20,Provoked,AUSTRALIA,M,bull shark
2021-02-06,Unprovoked,USA,M,
2021-02-02,Watercraft,AUSTRALIA,M,copper shark
2021-02-02,Watercraft,USA,M,white shark
2021-01-29,Unprovoked,AUSTRALIA,F,
2021-01-27,Unprovoked,NEW ZEALAND,M,juvenile shark
2021-01-23,Unprovoked,AUSTRALIA,M, 
2021-01-22,Watercraft,USA,,white shark
2021-01-22,Unprovoked,USA,M,"8"" shark"
2021-01-21,Unprovoked,AUSTRALIA,M,white shark
2021-01-13,Unprovoked,BRAZIL,M,
2021-01-13,Unprovoked,AUSTRALIA,M,bull shark
2021-01-11,Unprovoked,AUSTRALIA,M,
2021-01-09,Unprovoked,ST KITTS / NEVIS,F,
2021-01-07,Unprovoked,NEW ZEALAND,F,
2021-01-03,Unprovoked,USA,M,
2021-01-02,Unprovoked,USA,M,
2021-01-02,Unprovoked,USA,F,
2020-12-30,Unprovoked,USA,M,white shark
2020-12-23,Unprovoked,MALDIVES,M,
2020-12-10,Unprovoked,ST MARTIN,F,tiger shark
2020-12-09,Unprovoked,AUSTRALIA,M,
2020-12-08,Unprovoked,USA,M,tiger shark
2020-12-06,Unprovoked,USA,M,
2020-12-06,Unprovoked,AUSTRALIA,M,white shark
2020-12-02,Unprovoked,EGYPT,F,white shark
2020-11-26,Unprovoked,USA,F,
2020-11-23,Unprovoked,NEW CALEDONIA,F,tiger shark
2020-11-22,Unprovoked,AUSTRALIA,M,bull shark
2020-11-02,Unprovoked,AUSTRALIA,M,
2020-10-31,Unprovoked,USA,M,blacktip shark
2020-10-30,Unprovoked,BAHAMAS,M,"""reef shark"""
2020-10-29,Unprovoked,USA,M,
2020-10-25,Unprovoked,EGYPT,,
2020-10-24,Unprovoked,AUSTRALIA,M,
2020-10-21,,USA,M,shark involvement not confirmed
2020-10-09,Unprovoked,AUSTRALIA,M,4m shark
2020-10-07,Unprovoked,USA,M,blacktip shark
2020-10-04,Unprovoked,AUSTRALIA,M,copper shark
2020-09-29,Provoked,USA,M,nurse shark
2020-09-21,,USA,F,injuries not caused by a shark
2020-09-20,Unprovoked,USA,M,bull shark
2020-09-17,Provoked,AUSTRALIA,M,white shark
2020-09-16,Unprovoked,AUSTRALIA,M,white shark
2020-09-16,,USA,M,shark involvement not confirmed
2020-09-15,Unprovoked,USA,M,
2020-09-15,Unprovoked,USA,M,
2020-09-08,,USA,M,4' to 5' shark
2020-09-07,Unprovoked,AUSTRALIA,M,white shark
2020-09-06,Unprovoked,USA,F,8' shark
2020-09-02,Unprovoked,USA,M,nurse shark
2020-08-30,Watercraft,AUSTRALIA,,white shark
2020-08-30,Unprovoked,USA,M,
2020-08-28,Unprovoked,USA,M,white shark
2020-08-23,Unprovoked,USA,M,
2020-08-22,Unprovoked,USA,M,4' to 5' shark
2020-08-20,Unprovoked,USA,F,
2020-08-19,,USA,F,
2020-08-14,Unprovoked,AUSTRALIA,F,white shark
2020-08-10,Provoked,USA,M,blacktip shark
2020-08-02,Unprovoked,USA,F,nurse shark
2020-08-01,Unprovoked,USA,M,
2020-07-31,Unprovoked,USA,F,
2020-07-31,Unprovoked,USA,M,blacktip shark
2020-07-31,Unprovoked,AUSTRALIA,M,white shark
2020-07-29,Unprovoked,USA,M,lemon shark
2020-07-29,Watercraft,AUSTRALIA,,white shark
2020-07-27,Unprovoked,FRENCH POLYNESIA,M,blacktip shark
2020-07-27,Unprovoked,USA,F,white shark
2020-07-23,Unprovoked,USA,M,"reef shark, 5' to 6 '"
2020-07-23,Unprovoked,USA,M,
2020-07-22,Unprovoked,USA,M,bull shark
2020-07-19,Unprovoked,USA,F,
2020-07-17,Unprovoked,AUSTRALIA,M,white shark
2020-07-14,Unprovoked,USA,F,bull shark
2020-07-13,Unprovoked,AUSTRALIA,F,2 m shark
2020-07-11,Unprovoked,AUSTRALIA,M,white shark
,Unprovoked,USA,F,
2020-07-04,Unprovoked,AUSTRALIA,M,
2020-06-22,Unprovoked,USA,M,bull shark
2020-06-20,Unprovoked,USA,M,
2020-06-20,Unprovoked,BAHAMAS,,
2020-06-16,Unprovoked,SOUTH AFRICA,F,
2020-06-10,Unprovoked,NEW CALEDONIA,M,tiger shark
2020-06-07,Unprovoked,AUSTRALIA,M,white shark
2020-06-06,Unprovoked,AUSTRALIA,F,
2020-06-04,,USA,M,shark involvement unconfirmed but considered probable
2020-06-01,Unprovoked,USA,M,tiger shark
2020-05-31,Unprovoked,BAHAMAS,M,bull shark
2020-05-30,Unprovoked,AUSTRALIA,M,bull shark
2020-05-28,Unprovoked,THAILAND,M,bull shark
2020-05-26,Unprovoked,SPAIN,M,angel shark
2020-05-17,Unprovoked,FRENCH POLYNESIA,,blacktip shark
2020-05-09,Unprovoked,USA,M,white shark
2020-05-08,Unprovoked,AUSTRALIA,M,
2020-05-01,Unprovoked,USA,F,5' to 6' shark
2020-04-29,,USA,M,
2020-04-21,Unprovoked,AUSTRALIA,F,
2020-04-07,Unprovoked,USA,F,bull shark
2020-04-06,Unprovoked,AUSTRALIA,M,
2020-04-06,Unprovoked,AUSTRALIA,M,6' shark
2020-03-27,Unprovoked,USA,M,
2020-03-22,Unprovoked,USA,M,
2020-03-22,Unprovoked,USA,M,
2020-03-21,Unprovoked,AUSTRALIA,F,
,Provoked,NEW ZEALAND,M,white shark
2020-03-02,Unprovoked,FIJI,M,
2020-02-22,Unprovoked,NEW ZEALAND,M,white shark
2020-02-05,Unprovoked,USA,M,tiger shark
2010-02-01,Unprovoked,FRENCH POLYNESIA,M,
,Provoked,BAHAMAS,F,
2020-01-17,Unprovoked,AUSTRALIA,M,"""a small shark"""
2020-01-16,Unprovoked,NEW ZEALAND,F,broadnose sevengill shark
2020-01-13,Unprovoked,USA,M,
2020-01-12,Unprovoked,THAILAND,M,
2020-01-07,Unprovoked,AUSTRALIA,F,lemon shark
2020-01-05,Unprovoked,AUSTRALIA,M,white shark
2020-01-03,Unprovoked,NEW CALEDONIA,M,
2020-01-02,Questionable,AUSTRALIA,M,
2019-12-30,Unprovoked,AUSTRALIA,M,"shovelnose ""shark"" which is a ray, not a shark)"
2019-12-28,Unprovoked,SEYCHELLES,F,
2019-12-26,Unprovoked,PAPUA NEW GUINEA,M,
2019-12-26,Unprovoked,SOUTH AFRICA,M,
2019-12-24,Unprovoked,NEW ZEALAND,F,
2019-12-21,Unprovoked,USA,M,
2019-12-20,Provoked,AUSTRALIA,,white shark
2019-12-12,Questionable,REUNION ISLAND,M,tiger shark
2019-12-06,Unprovoked,AUSTRALIA,M,
2019-12-04,Unprovoked,CUBA,M,
